,mean,median,std,min_val,max_val,kurtosis,skewness,fft_vals,fft_magnitude,fft_mean,fft_std,label
0,-0.0031792798365926933,-0.00323543861656265,0.015321558735678958,-0.0663175508653988,0.0769201695536565,0.9601373131653625,0.06573219360786062,"[-12.98417885-0.j           1.27132031-4.06349698j
  -6.68450398-2.60299161j ...  -5.58905462-2.65594175j
  -6.68450398+2.60299161j   1.27132031+4.06349698j]","[12.98417885  4.2577298   7.17343424 ...  6.1880173   7.17343424
  4.2577298 ]",0.36397823109800875,0.9314074550306993,deep
1,-0.0003850611774875302,-0.0002979156877199,0.015643200128484483,-0.0658359197886667,0.0515978188423815,0.8336226236275124,0.057642185317463374,"[-1.57258985-0.j          2.28343914-1.38153253j -0.33807022-3.08977128j
 ... -5.31739544+3.82343567j -0.33807022+3.08977128j
  2.28343914+1.38153253j]",[1.57258985 2.66884365 3.10821139 ... 6.54930184 3.10821139 2.66884365],0.4361992771702873,0.8998500934022945,deep
2,-0.0011477296718510842,-0.00183695824985235,0.0156057905589745,-0.0729132322396973,0.0633006184305476,1.3321041514768428,0.2936252501942999,"[-4.68732798-0.j          2.28624101+6.46594778j -3.71608951-7.60727631j
 ...  2.52254894-8.40201722j -3.71608951+7.60727631j
  2.28624101-6.46594778j]",[4.68732798 6.85823437 8.46640266 ... 8.77252224 8.46640266 6.85823437],0.46793687069321827,0.8837618938638607,deep
3,-0.0011839744232881688,-0.0009067130840671,0.015603082610023715,-0.0664984576732033,0.0600781719200472,0.9108925659485725,-0.050192686978465594,"[-4.83535154-0.j          2.61227378+3.34872969j  0.89505065+0.81632707j
 ... -1.52835426+2.3125915j   0.89505065-0.81632707j
  2.61227378-3.34872969j]",[4.83535154 4.24711253 1.21140643 ... 2.77199318 1.21140643 4.24711253],0.8090978548019024,0.5876739413611588,deep
4,-0.000506767091211473,-0.00057248776028825,0.015639730479950417,-0.0671231193014587,0.0662291739960559,1.3574827403766587,0.17657117733627092,"[-2.0696368 -0.j          1.71188371+2.96464635j -5.29856566-4.17565703j
 ...  0.47358137-2.92704066j -5.29856566+4.17565703j
  1.71188371-2.96464635j]",[2.0696368  3.42340092 6.74617741 ... 2.96510477 6.74617741 3.42340092],0.37603288022041376,0.9266063203934773,deep
5,0.00025228158193280726,-7.438784909823015e-05,0.015645904779642582,-0.0529757265590345,0.0620315472381601,0.3312223183639107,0.08500141442490056,"[ 1.03031798-0.j          1.65118009+0.52957597j -1.8431525 +0.08184801j
 ...  0.49065752-1.36076545j -1.8431525 -0.08184801j
  1.65118009-0.52957597j]",[1.03031798 1.73402607 1.8449689  ... 1.44652252 1.8449689  1.73402607],0.73052125265531,0.6828899614278398,deep
6,5.788225656247326e-05,-2.088288861787915e-05,0.015647831543527058,-0.0652557491166751,0.0575752782388285,0.24611473179334142,0.08248823363187163,"[ 0.23639114-0.j          6.70879042-0.73465234j -0.56225137-2.41669837j
 ... -2.24070632+2.06650392j -0.56225137+2.41669837j
  6.70879042+0.73465234j]",[0.23639114 6.74889494 2.48124115 ... 3.04814751 2.48124115 6.74889494],0.4217123302646525,0.906729678847426,deep
7,-6.97039580919019e-05,-0.00067685720567455,0.015647783348719118,-0.0525838277336794,0.057093856480393,0.23231464203857,0.06321313337364823,"[-0.28467096-0.j          3.13628034-1.11358299j -0.33445999-1.65960843j
 ... -2.04285392+2.66503813j -0.33445999+1.65960843j
  3.13628034+1.11358299j]",[0.28467096 3.32811079 1.69297478 ... 3.35792799 1.69297478 3.32811079],0.715488545525796,0.6986244636579659,deep
8,-0.0005343449497671646,-0.0013152171140706,0.01563881254587072,-0.0662129250971069,0.0565204623385292,0.3715626009460733,0.18024030793943502,"[-2.18226477-0.j          2.35660417-1.96647509j -1.3237459 +0.09459912j
 ... -0.35998646+3.15052051j -1.3237459 -0.09459912j
  2.35660417+1.96647509j]",[2.18226477 3.06930081 1.32712178 ... 3.1710203  1.32712178 3.06930081],0.7174490198063268,0.6966110133919361,deep
9,-0.00042707413966735065,-0.00076592579672035,0.015642109514047407,-0.0567937882764148,0.0633090216328234,0.5903920386883472,0.06712705329018923,"[-1.74417079-0.j         -1.56906127+1.47213922j -0.43713804+1.95287336j
 ...  1.02016699+0.07459066j -0.43713804-1.95287336j
 -1.56906127-1.47213922j]",[1.74417079 2.15154529 2.00120064 ... 1.02289024 2.00120064 2.15154529],0.7155552377490731,0.6985561550296918,deep
